window,ad_name,type,campaign,spend,conversions,cpa,roas,hook_rate,hold_rate,ctr,verdict
2026-08-01..2026-08-08,1,image,straw birkin 2,3418.68,61,56.04,2.33,27.3,25.5,5.94,watch
2026-08-01..2026-08-08,founder h4.mp4,video,weekender v2,2201.21,44,50.03,3.33,41.8,32.3,9.56,scale
2026-08-01..2026-08-08,3,image,straw birkin 2,1840.59,28,65.74,2.25,27.4,27.9,5.29,watch
2026-08-01..2026-08-08,VEL-WEEKENDER-BUILT-CRAFT-01_amaya,video,weekender v2,1359.94,13,104.61,1.57,53.6,42.1,10.31,iterate
2026-08-01..2026-08-08,velantra weekender intro final.mp4,video,weekender v2,842.54,14,60.18,3.24,33.9,27.3,5.87,scale
2026-08-01..2026-08-08,2,image,straw birkin 2,518.56,5,103.71,1.32,11.4,21.8,4.83,watch
2026-08-01..2026-08-08,VEL-STRAWTOTE-UGC-TH-VIRAL-V01,video,straw birkin 2,479.01,6,79.84,1.70,42.7,30.9,7.13,watch
2026-08-01..2026-08-08,VEL-STRAWTOTE-UGC-VO-V02_9x16_clean,video,straw birkin 2,447.11,7,63.87,1.97,32.2,27.6,6.10,watch
2026-08-01..2026-08-08,VEL-STRAWTOTE-CLEARANCE-V01,video,straw birkin 2,374.61,8,46.83,2.89,30.7,25.0,5.37,iterate
2026-08-01..2026-08-08,VEL-CARRYON-03-rides-carryon-4x5,dynamic,weekender v2,297.52,6,49.59,2.87,0.0,0.0,3.71,iterate
2026-08-01..2026-08-08,black intro v1,video,straw birkin v4,295.84,5,59.17,1.99,53.1,22.4,9.48,watch
2026-08-01..2026-08-08,VEL-BACKINSTOCK-eleanor-army-green-4x5,dynamic,weekender v2,277.72,2,138.86,0.80,0.0,0.0,4.26,kill
2026-08-01..2026-08-08,h3,video,founder,167.69,2,83.85,1.48,59.8,31.1,15.76,iterate
2026-08-01..2026-08-08,founder h3.mp4,video,weekender v2,102.96,1,102.96,1.40,42.4,34.8,9.90,watch
2026-08-01..2026-08-08,general travel.mp4,video,weekender v2,86.57,2,43.29,3.33,29.2,29.4,5.36,iterate
2026-08-01..2026-08-08,founder h1.mp4,video,weekender v2,79.48,0,,0.00,38.3,35.8,6.28,watch
2026-08-01..2026-08-08,street interview v2,video,straw birkin 2,68.96,1,68.96,1.57,45.7,29.9,8.53,watch
2026-08-01..2026-08-08,hf_20260624_024342_c2a8854e-11fa-4d18-87a8-2221a4c9c0af,video,straw birkin 2,59.58,0,,0.00,37.3,23.4,6.61,watch
2026-08-01..2026-08-08,h1,video,founder,57.89,1,57.89,2.76,58.2,29.5,11.58,iterate
2026-08-01..2026-08-08,h8,video,founder,54.83,0,,0.00,48.7,32.4,11.84,iterate
2026-08-01..2026-08-08,scam captioned,video,straw birkin 2,53.95,1,53.95,2.22,47.5,28.0,8.20,iterate
2026-08-01..2026-08-08,ask me final.mp4,video,straw birkin 2,43.40,0,,0.00,34.4,20.3,5.65,watch
2026-08-01..2026-08-08,6,image,straw birkin 2,38.05,1,38.05,3.78,0.0,0.0,2.83,iterate
2026-08-01..2026-08-08,affordable luxury voiceover,video,straw birkin 2,36.89,0,,0.00,29.8,27.0,7.69,watch
2026-08-01..2026-08-08,VEL-CLAY-WINDOW-01-window-seat,video,weekender v2,33.22,1,33.22,5.12,43.2,22.5,7.55,iterate
2026-08-01..2026-08-08,VEL-BACKINSTOCK-eleanor-light-chocolate-4x5,dynamic,weekender v2,29.63,0,,0.00,0.0,0.0,5.15,watch
2026-08-01..2026-08-08,velantra_straw_birkin_ad_1,video,straw birkin 2,29.44,0,,0.00,20.5,45.9,4.82,watch
2026-08-01..2026-08-08,VEL-STRAW-MOF-REVIEW-lightning-orange,image,straw birkin 2,28.59,0,,0.00,0.0,0.0,3.82,watch
2026-08-01..2026-08-08,0624 (2),video,straw birkin 2,24.40,0,,0.00,26.8,21.6,4.71,watch
2026-08-01..2026-08-08,a-preorder-open,image,colette,23.45,1,23.45,7.12,0.0,0.0,4.84,iterate
