Sales Channel,Tax Country,Tax Region,Tax Name,Filed by Channel,Tax Rate,Sales Taxes
Summary,,,,,,21.36
Shop,United States,Arizona,Arizona State Tax,Filed,5.60%,3.36
Shop,United States,Arizona,Pinal County Tax,Filed,0.00%,0.00
Shop,United States,California,California State Tax,Filed,6.00%,5.40
Shop,United States,California,Fresno County District Tax Sp,Filed,0.72%,0.65
Shop,United States,California,Orange Co Local Tax Sl,Filed,1.00%,0.90
Shop,United States,California,Orange County Tax,Filed,0.25%,0.22
Shop,United States,Kentucky,Kentucky State Tax,Filed,6.00%,3.00
Shop,United States,Massachusetts,Massachusetts State Tax,Filed,6.25%,1.87
Shop,United States,Michigan,Michigan State Tax,Filed,6.00%,0.00
Shop,United States,Missouri,Johnson County Tax,Filed,3.37%,1.18
Shop,United States,Missouri,Missouri State Tax,Filed,4.22%,1.48
Shop,United States,Pennsylvania,Pennsylvania State Tax,Filed,6.00%,0.00
Shop,United States,Wisconsin,Douglas County Tax,Filed,0.50%,0.30
Shop,United States,Wisconsin,Wisconsin State Tax,Filed,5.00%,3.00
