video_id,url,creator,creator_nick,caption,hashtags,views,likes,comments,shares,duration_s,published,thumbnail,media_url,search_query,is_ad,is_slideshow,width,height
7670829169541958932,https://www.tiktok.com/@myromana/video/7670829169541958932,myromana,Romana,@Léo et Violette Daily Laurence - Grained Leather - colour: Brown - Crossbody - Detachable strap • • 📌 Penat saya buat video dengan info. Please watch till the end before you ask me any questions.  #leoetviolette #leatherhandbag #frenchhandbags #handbagcollection  ,# #leoetviolette #leatherhandbag #frenchhandbags #handbagcollection,47900,1049,68,102,254,2026-08-06T08:14:59.000Z,https://p19-common-sign.tiktokcdn-us.com/tos-alisg-p-0037/oEEioEaCDO6KYxYl7vIRAPvnBA0WiIBhQzVRI~tplv-tiktokx-dmt-logom:tos-alisg-i-0068/oEqAUA0fBC3EEAFRvB5IIoFAAdE2g0fBAKQDEY.image?dr=9634&x-expires=1788555600&x-signature=nrlXUQnqPbou1F%2Ftg6l9sWdfxt4%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast5,,leather handbag,False,False,576,1024
7675569359120502046,https://www.tiktok.com/@joyleather168/video/7675569359120502046,joyleather168,JOY LEATHER,#leatherbag #handmadebag #handbags #vintagestyle ,#leatherbag #handmadebag #handbags #vintagestyle,2001,51,8,0,24,2026-08-19T02:49:22.000Z,https://p19-common-sign.tiktokcdn-us.com/tos-useast8-p-0068-tx2/oY3hAKmERvIrhA1qA6AQRM0FefEbE4EVEDQCAy~tplv-tiktokx-origin.image?dr=9636&x-expires=1788555600&x-signature=xJEcTcpuKeesfMJUYlKbGf10%2BYk%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast5,,leather handbag,False,False,720,1280
7615906030630849806,https://www.tiktok.com/@handbagmanufacturercn/video/7615906030630849806,handbagmanufacturercn,Handbag_Super_Manufacturer,"We are a high quality leather bag manufacturer,OEM & ODM service #chinesefactory #handbagfactory #handbagcustom #oemodmfactory #handbagmanufacturer ",#chinesefactory #handbagfactory #handbagcustom #oemodmfactory #handbagmanufacturer,447800,1299,13,46,13,2026-03-11T08:05:23.000Z,https://p19-common-sign.tiktokcdn-us.com/tos-useast5-p-0068-tx/oELRkPETYAEfHI1FIZrkyjICkVxeIoO8IeWAIG~tplv-tiktokx-origin.image?dr=9636&x-expires=1788555600&x-signature=x3rvhd4TMMzX5yB4%2BpyjDjXO68s%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast5,,leather handbag,True,False,720,1280
7655489485450382612,https://www.tiktok.com/@rehstudios/video/7655489485450382612,rehstudios,Reh Studios,ICYMI: Archive Sale is on  #leatherhandbag #chicbags #whatsinmybag #sale ,#leatherhandbag #chicbags #whatsinmybag #sale,31600,798,8,13,8,2026-06-26T00:09:17.000Z,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-p-0037/oQwGAeRqIBpTglLAoevAph4eUWiGFnRe7gGA6X~tplv-tiktokx-origin.image?dr=9636&x-expires=1788555600&x-signature=m8MeQTZ4KBw2lm7NDOPd5weoMXY%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast5,,leather handbag,False,False,576,1024
7680747528442203405,https://www.tiktok.com/@cheevangxiong/video/7680747528442203405,cheevangxiong,Chee Vang Xiong,This all leather tote bag?! OBSESSED #fyp #affordableluxury #affordablefashion #handbag #fashioninspo @kiki02.official.tok ,#fyp #affordableluxury #affordablefashion #handbag #fashioninspo #,1955,144,11,9,176,2026-09-02T01:43:23.000Z,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-p-0068-tx/oYgkfVAJeAEeAbGXIdMd3kgAcLjbvLXAOkIQHk~tplv-tiktokx-origin.image?dr=9636&x-expires=1788555600&x-signature=LxARgnMuamBSJGT5%2FKhxfNlHyec%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast5,,leather handbag,False,False,720,1280
7645967280077098248,https://www.tiktok.com/@shaftales/video/7645967280077098248,shaftales,shaf | corporate & life,This leather handbag 🤌🏼 @nakdfashion #leatherbagnakd #workbagleather #laptopbagleather #bawlerleatherbag #leatherhandbag,# #leatherbagnakd #workbagleather #laptopbagleather #bawlerleatherbag #leatherhandbag,8410,78,9,7,110,2026-05-31T08:18:11.000Z,https://p19-common-sign.tiktokcdn-us.com/tos-alisg-p-0037/oYi0DwfDoQsejNUIq3I4QNPe3CYAWE2rFCl1QA~tplv-tiktokx-dmt-logom:tos-alisg-i-0068/oAiIADNEkzA7D2U5JFeBIUEAbDfsfGATjAE7Ao.image?dr=9634&x-expires=1788555600&x-signature=414Y8PceTUK4GAO8guqKGwAmjkQ%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast5,,leather handbag,False,False,576,1024
7628045583697136910,https://www.tiktok.com/@sadibag5/video/7628045583697136910,sadibag5,SD Bag store,Wow so stylish #sadi #womenbag #bags #handbag ,#sadi #womenbag #bags #handbag,1550,4,0,0,12,2026-04-13T01:13:13.000Z,https://p19-common-sign.tiktokcdn-us.com/tos-useast5-p-0068-tx/oEII6uKmmLceACkL6Tu5jeAaQIQDeHsGQ4hl6p~tplv-tiktokx-origin.image?dr=9636&x-expires=1788555600&x-signature=L%2FtpevhEuHi2Etvvdp%2FyOwkXRD8%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast5,,leather handbag,False,False,720,1280
7641607456518327566,https://www.tiktok.com/@ekammeyer/video/7641607456518327566,ekammeyer,Emily,"I wasn’t planning to film today but I opened this bag before heading out and was honestly BLOWN AWAY! The leather quality is incredible, the bag is handmade✨, the hardware is exceptional and the whole thing just looks so expensive. And then I looked up the price and was SHOCKED!  #bags #purselover #bagsofinstagram #bucketbag #purseaddict",#bags #purselover #bagsofinstagram #bucketbag #purseaddict,18700,118,17,6,71,2026-05-19T14:20:26.000Z,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-p-0068-tx/oQAAWnEIEDgqpIDfxcFSMQAtmaGkLEAfDCHRAm~tplv-tiktokx-origin.image?dr=9636&x-expires=1788555600&x-signature=Tj33rH1WbrRRcer6A%2BoqGc%2BMvPU%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast5,,leather handbag,False,False,720,1280
7656602143356472590,https://www.tiktok.com/@cartermcneil1/video/7656602143356472590,cartermcneil1,Carters Bags,Are they worth selling? 🥹❤️ #handmade #crocodilebag #handbag #leatherpurse ,#handmade #crocodilebag #handbag #leatherpurse,34500,3822,813,72,12,2026-06-29T00:07:11.000Z,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-p-0068-tx/okAVORLpIg7HpGegv0G4Ft3BUYHmetQ6tfpfpA~tplv-tiktokx-origin.image?dr=9636&x-expires=1788555600&x-signature=dfgneww%2BcXI%2FtJF7kvLisZ%2B%2F4ic%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast5,,leather handbag,False,False,720,1290
7584212056950295838,https://www.tiktok.com/@ashleydianeevans/video/7584212056950295838,ashleydianeevans,Ashley Evans,designer inspired bag #designerinspired #lookforless #leatherbag #leatherhandbag #handbags  ,#designerinspired #lookforless #leatherbag #leatherhandbag #handbags,531600,29300,487,1746,23,2025-12-15T22:16:38.000Z,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-p-0068-tx2/oEYU8BxiVATlaBRAMNA0CTSAERsBAIEIABPii~tplv-tiktokx-origin.image?dr=9636&x-expires=1788555600&x-signature=9WOUEzrEr7FbpILwk3jaZzUdIR4%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast5,,leather handbag,False,False,720,1280
