brand,slug,image,video,total,image_percent,dominant
Arctic Goddess,arctic-goddess,1586,183,1769,89.7,image
blog.zafiraorganics.com,blog-zafiraorganics-com,347,53,400,86.8,image
Lymphoria,lymphoria,1414,1196,2610,54.2,image
Sculptique,sculptique,150,800,950,15.8,video
PiPi Tea,pipi-tea,424,64,488,86.9,image
Resilia,resilia,751,3107,3858,19.5,video
Nuora,nuora,319,610,929,34.3,video
Nivara Official,nivara-official,375,140,515,72.8,image
Lanural,lanural,207,77,284,72.9,image
Elvera,elvera,151,30,181,83.4,image
Neural Health Report,neural-health-report,0,0,0,,none_returned
avaRoot,avaroot,0,0,0,,none_returned
jevawell,jevawell,161,24,185,87.0,image
NT.CO,nt-co,1168,30,1198,97.5,image
Sanlava,sanlava,0,0,0,,none_returned
Zylara,zylara,42,4,46,91.3,image
Alevia,alevia,883,440,1323,66.7,image
The Blood Pressure Journal,the-blood-pressure-journal,584,0,584,100.0,image
GLP-1 SOS Supplements,glp-1-sos-supplements,125,250,375,33.3,video
AuraVanna,auravanna,181,0,181,100.0,image
