Hero SKU	Product Name	Shopify SKU Variants	Photo Link	Quantity	Weight (Grams)	Dimensions (LxWxH in CM)
VEL-CAM	The Camille Boat Tote - Navy	VEL-CAM-NVY	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/01_9646591c-8d25-4eb1-b49d-2e477a5534e9.jpg	0	600	51x20x36
VEL-CAM	The Camille Boat Tote - Emerald Green	VEL-CAM-EMG	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/06_0c66df7a-34f1-4429-933c-081c5989c6f2.jpg	0	600	51x20x36
VEL-CAM	The Camille Boat Tote - Lineman	VEL-CAM-LNM	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/05_ef646075-79b4-49ec-a6e1-f4695b80a5e5.jpg	0	600	51x20x36
VEL-CAM	The Camille Boat Tote - Solid Navy (Limited Edition)	VEL-CAM-SNVY-LE	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/navy_blue_53d5815b-0314-40bf-805a-f2472969bb96.webp	0	600	51x20x36
VEL-CAM	The Camille Boat Tote - Solid Olive Green (Limited Edition)	VEL-CAM-SOLV-LE	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/olive_green_17312b00-3ff8-4f2e-ba92-05f013b0f498.webp	0	600	51x20x36
VEL-CAM	The Camille Boat Tote - Solid Red (Limited Edition)	VEL-CAM-SRED-LE	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/red_1356bd3e-1f3d-4348-84e1-71a3f2df6324.webp	0	600	51x20x36
VEL-CAM	The Camille Boat Tote - Lady Pink	VEL-CAM-LPK	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/03_5bc60b21-15d0-4c87-bed2-592fd29c7c9f.jpg	0	600	51x20x36
VEL-CAM	The Camille Boat Tote - Light Grey	VEL-CAM-LGY	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/04_c3367773-1309-45ae-b592-f6c10162d907.jpg	0	600	51x20x36
VEL-CAM	The Camille Boat Tote - Red	VEL-CAM-RED	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/02_aad8e48f-e49e-44f7-8071-3a0823d2ce21.jpg	0	600	51x20x36
VEL-CAM	The Camille Boat Tote - Sunny Yellow	VEL-CAM-SYL	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/sunny_yellow_649c87ea-5552-4bbf-ad6b-1d8adeb3e83e.webp	0	600	51x20x36
VEL-CAM	The Camille Boat Tote - Solid Green (Limited Edition)	VEL-CAM-SGRN-LE	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/dark_green_20e33b77-f7fa-43a3-81ee-2a673a4fa21c.webp	0	600	51x20x36
VEL-CAM	The Camille Boat Tote - Solid Pink (Limited Edition)	VEL-CAM-SPNK-LE	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/pink_c374d455-41b5-412d-aaf8-6c61f8ad578f.webp	0	600	51x20x36
VEL-CAM	The Camille Boat Tote - Solid Orange (Limited Edition)	VEL-CAM-SORG-LE	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/orange_da2c2225-4955-4460-94fa-493ec63e0383.webp	0	600	51x20x36
VEL-SOF	The Sofia Woven Tote - Caramel	VEL-SOF-CRM	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/sofia-caramel-hero_b8a68e6c-3573-4cbf-aa9b-c32e5e50d038.png	0	500	30.5x15x24
VEL-SOF	The Sofia Woven Tote - Sky Blue	VEL-SOF-SKY	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/sofia-sky-blue-hero_501d0d52-3d67-4e93-907f-4b9d7b135058.png	0	500	30.5x15x24
VEL-SOF	The Sofia Woven Tote - Lightning Orange	VEL-SOF-LOR	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/sofia-lightning-orange-hero_68d9e890-8b1b-4312-8d75-10a152f8d237.png	0	500	30.5x15x24
VEL-SOF	The Sofia Woven Tote - Light Chocolate	VEL-SOF-LCH	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/sofia-light-chocolate-hero_8def8b7b-5d11-43d7-92fa-d9e66634ebe6.png	0	500	30.5x15x24
VEL-SOF	The Sofia Woven Tote - Lady Pink	VEL-SOF-LPK	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/sofia-lady-pink-hero_41b65c3b-3441-4cd4-ad39-3debe7ed86bb.png	0	500	30.5x15x24
VEL-SOF	The Sofia Woven Tote - Cream	VEL-SOF-CRE	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/sofia-cream-hero_d9395cd8-08b7-442d-bf1d-7c2360946bb5.png	0	500	30.5x15x24
VEL-SOF	The Sofia Woven Tote - Sunny Yellow	VEL-SOF-SYL	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/sofia-sunny-yellow-hero_09ad810a-e78b-4188-ba10-dba81cfef66b.png	0	500	30.5x15x24
