seed_id,url,notes,occurrences,platform,status,post_id,actual_creator,category,comments_collected,transcript_status
S001,https://www.instagram.com/p/DaAQeKXMGaz/,"* founder angle
* affordable luxury angle and why we exist",1,instagram,retrieved,ig:DaAQeKXMGaz,arntreal.co,handbag_context,16,automatic_unverified
S002,https://www.instagram.com/reel/DDXIojFNwC4/,* close up,1,instagram,retrieved,ig:DDXIojFNwC4,soho_np,handbag_context,58,automatic_unverified
S003,https://www.instagram.com/reel/DafJssRqF_i/,,1,instagram,retrieved,ig:DafJssRqF_i,nidsfitz,handbag_context,3,automatic_unverified
S004,https://www.instagram.com/reel/DY5xhWqtfYk/,,1,instagram,retrieved,ig:DY5xhWqtfYk,rachelpuccetti,handbag_context,100,automatic_unverified
S005,https://www.instagram.com/reel/DPHU8A_D5Xt/,,1,instagram,retrieved,ig:DPHU8A_D5Xt,verano_hill,handbag_context,23,automatic_unverified
S006,https://www.instagram.com/reel/DZLA4ilxHv0/,"* the perfect raffia woven bag angle, talking head ai ugc",1,instagram,retrieved,ig:DZLA4ilxHv0,wear_this_next,handbag_context,100,automatic_unverified
S007,https://www.instagram.com/reel/DY-z9hXzBNX/,"* Best bags on the internet, affordable luxury angle, compare other bags and position velantra as the best option",1,instagram,retrieved,ig:DY-z9hXzBNX,catspanti,handbag_context,100,automatic_unverified
S008,https://www.instagram.com/reel/DYc_80vh7Yd/,* bottom of funnel urgency,1,instagram,retrieved,ig:DYc_80vh7Yd,fancythingsblog,handbag_context,100,automatic_unverified
S009,https://www.instagram.com/reel/DZ-4VhCsplH/,"* the bag of summer, run through seedance 2",1,instagram,retrieved,ig:DZ-4VhCsplH,britsemler,handbag_context,100,automatic_unverified
S010,https://www.instagram.com/reel/DXl_DTBDdWj/,"* Summer bag of 2026 trend, the perfect summer bag",1,instagram,retrieved,ig:DXl_DTBDdWj,benguuparlak,adjacent_fashion_or_other,45,automatic_unverified
S011,https://www.instagram.com/reel/DMQIVJ_IkDC/,* the bag round up,1,instagram,retrieved,ig:DMQIVJ_IkDC,wearetwinset,handbag_context,92,automatic_unverified
S012,https://www.instagram.com/reel/DWoHjhDCuXh/,"* perfect summer bag, shocked concept",1,instagram,retrieved,ig:DWoHjhDCuXh,zoeilanahill,handbag_context,80,automatic_unverified
S013,https://www.instagram.com/reel/DaLPP4XsxGe/,"* perfect summer bag, boatkin of 26",1,instagram,retrieved,ig:DaLPP4XsxGe,tatiach_,handbag_context,100,automatic_unverified
S014,https://www.instagram.com/reel/DZf-NuYgpG-/,"* boatkin of 26, ugc story concept",1,instagram,retrieved,ig:DZf-NuYgpG-,kathyprounis,handbag_context,88,automatic_unverified
S015,https://www.instagram.com/reel/DYaSFa9tmVC/,* Favorite bag of 26,1,instagram,retrieved,ig:DYaSFa9tmVC,bethansowerbyy,handbag_context,101,automatic_unverified
S016,https://www.instagram.com/reel/C7AKRw8Sy6U/,* unboxing the perfect summer bag,1,instagram,retrieved,ig:C7AKRw8Sy6U,kristitu,handbag_context,99,not_available
S017,https://www.instagram.com/reel/Dags8BvRQ4z/,* talking head ai ugc,1,instagram,retrieved,ig:Dags8BvRQ4z,blakeevinn,adjacent_fashion_or_other,100,automatic_unverified
S018,https://www.instagram.com/reel/DatCxJkhVij/,* banger,1,instagram,retrieved,ig:DatCxJkhVij,emesegormley,handbag_context,100,automatic_unverified
S019,https://www.instagram.com/reel/Dax_hKCgyw-/,"* ai ugc/aivo, use kling",1,instagram,retrieved,ig:Dax_hKCgyw-,wear_this_next,adjacent_fashion_or_other,23,automatic_unverified
S020,https://www.instagram.com/reel/Da7-1Qcgcb3/,"* save on designer brands, position as affordable luxury brand",1,instagram,retrieved,ig:Da7-1Qcgcb3,wear_this_next,handbag_context,7,automatic_unverified
S021,https://www.instagram.com/reel/DYSXIp6MRCO/,* European luxury angle,1,instagram,retrieved,ig:DYSXIp6MRCO,iamsaraouardii,handbag_context,100,automatic_unverified
S022,https://www.instagram.com/reel/Da0Y7Pusq2x/,* luxury bag mistake,1,instagram,retrieved,ig:Da0Y7Pusq2x,iamsaraouardii,handbag_context,16,automatic_unverified
S023,https://www.instagram.com/reel/DakxW-YMug9/,"* luxury taste, not luxury pricing",1,instagram,retrieved,ig:DakxW-YMug9,yhasmina.ferrara,handbag_context,100,automatic_unverified
S024,https://www.instagram.com/reel/Dah9EpQsKIZ/,"* banger money
* the designer version",2,instagram,retrieved,ig:Dah9EpQsKIZ,iamsaraouardii,handbag_context,100,automatic_unverified
